"fecha","mes","anio","id_serie","valor"
1995-01-01,"enero","1995",2,831
1995-02-01,"febrero","1995",2,820
1995-03-01,"marzo","1995",2,814
1995-04-01,"abril","1995",2,793
1995-05-01,"mayo","1995",2,800
1995-06-01,"junio","1995",2,818
1995-07-01,"julio","1995",2,814
1995-08-01,"agosto","1995",2,806
1995-09-01,"septiembre","1995",2,806
1995-10-01,"octubre","1995",2,806
1995-11-01,"noviembre","1995",2,813
1995-12-01,"diciembre","1995",2,833
1996-01-01,"enero","1996",2,809
1996-02-01,"febrero","1996",2,779
1996-03-01,"marzo","1996",2,801
1996-04-01,"abril","1996",2,799
1996-05-01,"mayo","1996",2,805
1996-06-01,"junio","1996",2,802
1996-07-01,"julio","1996",2,801
1996-08-01,"agosto","1996",2,803
1996-09-01,"septiembre","1996",2,806
1996-10-01,"octubre","1996",2,800
1996-11-01,"noviembre","1996",2,801
1996-12-01,"diciembre","1996",2,800
1997-01-01,"enero","1997",2,796
1997-02-01,"febrero","1997",2,795
1997-03-01,"marzo","1997",2,794
1997-04-01,"abril","1997",2,794
1997-05-01,"mayo","1997",2,798
1997-06-01,"junio","1997",2,799
1997-07-01,"julio","1997",2,796
1997-08-01,"agosto","1997",2,796
1997-09-01,"septiembre","1997",2,800
1997-10-01,"octubre","1997",2,809
1997-11-01,"noviembre","1997",2,799
1997-12-01,"diciembre","1997",2,799
1998-01-01,"enero","1998",2,800
1998-02-01,"febrero","1998",2,801
1998-03-01,"marzo","1998",2,804
1998-04-01,"abril","1998",2,806
1998-05-01,"mayo","1998",2,803
1998-06-01,"junio","1998",2,804
1998-07-01,"julio","1998",2,805
1998-08-01,"agosto","1998",2,808
1998-09-01,"septiembre","1998",2,803
1998-10-01,"octubre","1998",2,811
1998-11-01,"noviembre","1998",2,810
1998-12-01,"diciembre","1998",2,812
1999-01-01,"enero","1999",2,807
1999-02-01,"febrero","1999",2,810
1999-03-01,"marzo","1999",2,808
1999-04-01,"abril","1999",2,809
1999-05-01,"mayo","1999",2,808
1999-06-01,"junio","1999",2,812
1999-07-01,"julio","1999",2,806
1999-08-01,"agosto","1999",2,809
1999-09-01,"septiembre","1999",2,811
1999-10-01,"octubre","1999",2,812
1999-11-01,"noviembre","1999",2,814
1999-12-01,"diciembre","1999",2,817
2000-01-01,"enero","2000",2,820
2000-02-01,"febrero","2000",2,789
2000-03-01,"marzo","2000",2,817
2000-04-01,"abril","2000",2,827
2000-05-01,"mayo","2000",2,812
2000-06-01,"junio","2000",2,815
2000-07-01,"julio","2000",2,817
2000-08-01,"agosto","2000",2,813
2000-09-01,"septiembre","2000",2,816
2000-10-01,"octubre","2000",2,814
2000-11-01,"noviembre","2000",2,810
2000-12-01,"diciembre","2000",2,816
2001-01-01,"enero","2001",2,814
2001-02-01,"febrero","2001",2,818
2001-03-01,"marzo","2001",2,817
2001-04-01,"abril","2001",2,816
2001-05-01,"mayo","2001",2,814
2001-06-01,"junio","2001",2,814
2001-07-01,"julio","2001",2,804
2001-08-01,"agosto","2001",2,808
2001-09-01,"septiembre","2001",2,807
2001-10-01,"octubre","2001",2,803
2001-11-01,"noviembre","2001",2,810
2001-12-01,"diciembre","2001",2,815
2002-01-02,"enero","2002",2,796
2002-02-02,"febrero","2002",2,833
2002-03-02,"marzo","2002",2,814
2002-04-02,"abril","2002",2,823
2002-05-02,"mayo","2002",2,835
2002-06-02,"junio","2002",2,838
2002-07-02,"julio","2002",2,868
2002-08-02,"agosto","2002",2,866
2002-09-02,"septiembre","2002",2,875
2002-10-02,"octubre","2002",2,893
2002-11-02,"noviembre","2002",2,895
2002-12-02,"diciembre","2002",2,895
2003-01-02,"enero","2003",2,910
2003-02-02,"febrero","2003",2,926
2003-03-02,"marzo","2003",2,930
2003-04-02,"abril","2003",2,930
2003-05-02,"mayo","2003",2,940
2003-06-02,"junio","2003",2,934
2003-07-02,"julio","2003",2,964
2003-08-02,"agosto","2003",2,974
2003-09-02,"septiembre","2003",2,986
2003-10-02,"octubre","2003",2,1008
2003-11-02,"noviembre","2003",2,1027
2003-12-02,"diciembre","2003",2,1036
2004-01-02,"enero","2004",2,1064
2004-02-02,"febrero","2004",2,1072
2004-03-02,"marzo","2004",2,1115
2004-04-02,"abril","2004",2,1107
2004-05-02,"mayo","2004",2,1105
2004-06-02,"junio","2004",2,1111
2004-07-02,"julio","2004",2,1101
2004-08-02,"agosto","2004",2,1108
2004-09-02,"septiembre","2004",2,1107
2004-10-02,"octubre","2004",2,1120
2004-11-02,"noviembre","2004",2,1123
2004-12-02,"diciembre","2004",2,1142
2005-01-02,"enero","2005",2,1194
2005-02-02,"febrero","2005",2,1193
2005-03-02,"marzo","2005",2,1216
2005-04-01,"abril","2005",2,1239
2005-05-01,"mayo","2005",2,1244
2005-06-01,"junio","2005",2,1252
2005-07-01,"julio","2005",2,1286
2005-08-01,"agosto","2005",2,1311
2005-09-01,"septiembre","2005",2,1353
2005-10-01,"octubre","2005",2,1364
2005-11-01,"noviembre","2005",2,1412
2005-12-01,"diciembre","2005",2,1425
2006-01-01,"enero","2006",2,1446
2006-02-01,"febrero","2006",2,1463
2006-03-01,"marzo","2006",2,1482
2006-04-01,"abril","2006",2,1507
2006-05-01,"mayo","2006",2,1537
2006-06-01,"junio","2006",2,1558
2006-07-01,"julio","2006",2,1590
2006-08-01,"agosto","2006",2,1611
2006-09-01,"septiembre","2006",2,1633
2006-10-01,"octubre","2006",2,1641
2006-11-01,"noviembre","2006",2,1668
2006-12-01,"diciembre","2006",2,1696
2007-01-01,"enero","2007",2,1725
2007-02-01,"febrero","2007",2,1745
2007-03-01,"marzo","2007",2,1780
2007-04-01,"abril","2007",2,1805
2007-05-01,"mayo","2007",2,1832
2007-06-01,"junio","2007",2,1867
2007-07-01,"julio","2007",2,1914
2007-08-01,"agosto","2007",2,1955
2007-09-01,"septiembre","2007",2,1975
2007-10-01,"octubre","2007",2,2022
2007-11-01,"noviembre","2007",2,2056
2007-12-01,"diciembre","2007",2,2108
2008-01-01,"enero","2008",2,2155
2008-02-01,"febrero","2008",2,2150
2008-03-01,"marzo","2008",2,2236
